Page,Edits,Editors,Views
"Зеленський Володимир Олександрович",373,68,302670
"Вибори Президента України 2019",183,50,154066
"Порошенко Петро Олексійович",113,36,144704
"Україна",17,12,104973
"Собор Паризької Богоматері",67,47,84995
"Перехід церковних громад до ПЦУ",70,17,81719
"Апаршин Іван Михайлович",9,4,58793
"Рябошапка Руслан Георгійович",10,4,57429
"Пальчевський Андрій Іванович",42,16,55642
"Вибори Президента України 2014",8,3,50241
"Разумков Олександр Васильович",2,2,50208
"Разумков Дмитро Олександрович",21,9,48832
"Шевченко Тарас Григорович",1,1,47284
"Порошенко Марина Анатоліївна",8,5,46991
"Великдень",12,8,44654
"Соколова Яніна Михайлівна",3,3,44422
"Коломойський Ігор Валерійович",34,10,43905
"Друга світова війна",0,0,43073
"Президент України",42,19,42077
"Роттердам плюс",4,3,41298
"Чорнобильська катастрофа",20,15,39163
"Баканов Іван Геннадійович",18,5,38950
"Леся Українка",7,4,38787
"Список президентів України",5,5,36775
"Данилюк Олександр Олександрович",1,1,33866
"Муха Оксана Володимирівна",6,4,33325
"Манжосов Денис Володимирович",31,6,32687
"Київ",21,4,32422
"Сполучені Штати Америки",0,0,30589
"Населення України",1,1,28866
"Бароко",2,2,28804
"Класицизм",7,5,28481
"Месники: Завершення",72,21,28474
"Велика Британія",2,2,28367
"Вибори Президента України 2010",3,2,28261
"Німеччина",1,1,28030
"Смешко Ігор Петрович",12,8,27332
"Європейський Союз",9,3,26310
"Таємне Товариство Боягузів, або Засіб від переляку № 9",6,5,26271
"Янукович Віктор Федорович",4,4,25548
"Білки",0,0,25546
"Зеленський Олександр Семенович",13,9,25220
"Стефанчук Руслан Олексійович",12,5,25091
"Мішані ліси України",0,0,25056
"Тварини Червоної книги України",1,1,24756
"Гра престолів (сезон 8)",11,7,24068
"Природні заповідники України",6,6,23631
"Війна на сході України",10,6,23283
"Тимошенко Юлія Володимирівна",3,2,23141
"Втрати силових структур внаслідок російського вторгнення в Україну (з квітня 2019 року)",0,0,23101
"Польща",1,1,22800
"Міщанин-шляхтич",2,2,22626
"Львів",2,2,22427
"Канада",1,1,22419
"Вибори Президента України 2019 (соціологічні опитування)",26,10,22151
"Слуга народу (політична партія)",0,0,21882
".torrent",0,0,21671
"Гай Юлій Цезар",16,9,21470
"Амінокислоти",2,1,21293
"Крохмаль",2,2,21169
"Список українських жіночих імен",0,0,20795
"Жири",3,3,20786
"Ющенко Віктор Андрійович",0,0,20583
"Дніпро",6,6,20550
"Вірус",10,6,20338
"НАТО",0,0,20312
"Постмодернізм",22,1,20097
"Перша світова війна",18,4,20078
"Чорне море",6,4,19980
"Я, ти, він, вона (фільм, 2018)",13,5,19912
"Великоднє привітання",1,1,19866
"Франція",7,5,19859
"Український степ",6,4,19710
"Парламентські вибори в Україні 2019",23,13,19678
"Студія Квартал-95",0,0,19577
"Прислівник",0,0,19536
"Рослини",2,2,19521
"Гладковський Олег Володимирович",8,6,19403
"Кучма Леонід Данилович",1,1,19340
"Квітка Цісик",5,5,19336
"Верховна Рада України",1,1,19114
"Японія",2,1,19073
"Оцтова кислота",0,0,19035
"Слуга народу (серіал, 2015)",0,0,18966
"Мостова Юлія Володимирівна",1,1,18615
"Український лісостеп",0,0,18541
"Італія",3,3,18399
"Неоподатковуваний мінімум",0,0,18328
"Євразія",9,4,18304
"Лісова пісня",3,3,18144
"Кір",4,3,18107
"Дебати",6,5,18104
"Винниченко Володимир Кирилович",2,2,17967
"Благовіщення",0,0,17893
"Гриценко Анатолій Степанович",5,3,17886
"Грушевський Михайло Сергійович",11,7,17880
"Кравчук Леонід Макарович",3,1,17848
"Поведінка",2,2,17757
"Стус Василь Семенович",1,1,17753
"Вибори Президента України 2004",0,0,17747
"Азовське море",4,4,17728
"Галицько-Волинське князівство",1,1,17670
"Тичина Павло Григорович",3,2,17603
"Сузір'я",0,0,17568
"Вуглеводи",0,0,17562
"Глюкоза",1,1,17551
"Іван Мазепа",4,4,17339
"Червона книга України",69,3,17338
"Костенко Ліна Василівна",3,3,17291
"Асканія-Нова (заповідник)",3,2,17002
"Столипінська реформа",2,2,16930
"Бактерії",2,2,16829
"Природний добір",0,0,16754
"Мосейчук Наталія Миколаївна",24,13,16688
"Булгаков Михайло Опанасович",2,2,16678
"Гімн України",0,0,16398
"Шістдесятники",0,0,16377
"Вербна неділя (християнство)",3,1,16166
"Збройні сили України",4,3,16082
"Конституція України",7,4,16043
"Список країн Європейського Союзу",0,0,16031
"Бразилія",1,1,15891
"Бандера Степан Андрійович",0,0,15776
"Індія",3,3,15765
"Як довго я на тебе чекала (телесеріал)",0,0,15745
"Список українських чоловічих імен",0,0,15712
"Гройсман Володимир Борисович",2,2,15657
"Революція гідності",1,1,15599
"Пігмаліон (п'єса)",1,1,15568
"Родовий відмінок однини іменників чоловічого роду другої відміни",0,0,15562
"Послідовне і паралельне з'єднання провідників",0,0,15552
"Порошенко Олексій Петрович",2,2,15530
"Куліш Пантелеймон Олександрович",11,7,15530
"Софійський собор (Київ)",0,0,15473
"Пакт Молотова — Ріббентропа",4,3,15440
"Екосистема",6,3,15410
"Гриби",4,3,15316
"Демократія",1,1,15290
"Список держав та залежних територій Європи",2,1,15247
"Православна церква України",38,17,15231
"Революція 1905—1907",3,2,15226
"Займенник",0,0,15177
"Союз Радянських Соціалістичних Республік",2,2,15156
"Українська абетка",0,0,15151
"Австралія",3,3,15040
"Інша (телесеріал)",22,3,14997
"СНІД",0,0,14960
"Організація українських націоналістів",13,3,14948
"Тютюнник Григір Михайлович",8,5,14869
"Інтернет",8,5,14821
"Благодатний вогонь",1,1,14737
"Романтизм",0,0,14657
"Туберкульоз",5,1,14618
"Нормативно-правовий акт",1,1,14601
"Помаранчева революція",4,2,14587
"Яйцеклітина",0,0,14559
"YouTube",7,6,14469
"Кіновсесвіт Marvel",11,5,14455
"Порошенко Олексій Іванович",2,2,14454
"Імпічмент в Україні",0,0,14405
"Гра престолів (телесеріал)",1,1,14399
"Рей Бредбері",3,3,14362
"Київська Русь",1,1,14349
"Франко Іван Якович",1,1,14340
"Аутизм",8,4,14320
"Кароль Тіна Григорівна",0,0,14317
"Природна зона",2,2,14284
"Путін Володимир Володимирович",17,5,14234
"Зеленська Олена Володимирівна",76,20,14198
"Шарій Анатолій Анатолійович",12,5,14154
"Імпічмент",1,1,14123
"Швейцарія",1,1,14041
"Спирти",0,0,14033
"Кабінет Міністрів України",2,2,14018
"Данило Галицький",11,8,13992
"Росія",1,1,13990
"Богдан Хмельницький",2,2,13846
"Етанол",5,4,13797
"Екологічні фактори",0,0,13786
"Адміністративна відповідальність",0,0,13678
"Перебудова",1,1,13660
"Холодна війна",1,1,13585
"Тварини",2,1,13556
"Мило",0,0,13524
"Права людини",4,4,13515
"Чорновіл В'ячеслав Максимович",6,4,13440
"LEGO",0,0,13427
"Інфляція",0,0,13364
"Паска",15,5,13317
"Організація Об'єднаних Націй",4,2,13294
"Голодомор в Україні (1932—1933)",0,0,13290
"Писанка",1,1,13242
"Складнопідрядне речення",0,0,13222
"Мутація",0,0,13198
"Око",2,2,13191
"Українські політичні партії XIX — початку XX століть",0,0,13184
"Гончар Олесь Терентійович",7,6,13138
"Китай",0,0,13124
"Вороний Микола Кіндратович",1,1,13086
"Медведчук Віктор Володимирович",1,1,13071
"Римська імперія",6,6,13031
"Адольф Гітлер",3,1,13026
"Роальд Дал",10,5,13004
"Рослини Червоної книги України",0,0,12990
"Олег Ольжич",10,8,12927
"Закони Ньютона",0,0,12921
"Мольєр",1,1,12904
"Вибори Президента України 1999",1,1,12903
"Модифікаційна мінливість",0,0,12891
"Популяція",0,0,12875
"Просвітництво",1,1,12810
"Національна поліція України",2,2,12803
"Скарлатина",0,0,12799
"Пугачова Алла Борисівна",2,2,12753
"Вибори Президента України 1994",4,2,12742
"Українська Народна Республіка",2,2,12710
"Facebook",10,7,12689
"Марта Борщ",1,1,12644
"Сім чудес світу",0,0,12640
"Список країн світу",0,0,12606
"Відродження",0,0,12594
"Карпатська Україна",1,1,12581
"Цукровий діабет",2,2,12548
"Османська імперія",3,2,12526
"Міграція тварин",3,3,12516
"Інфекційні захворювання",2,2,12444
"Вибори Президента України 1991",0,0,12334
"Піхва жінки",1,1,12316
"Вода",8,8,12295
"Єгипет",0,0,12288
"Екзит-пол",0,0,12243
"Українська повстанська армія",43,4,12237
"Християнство",0,0,12217
"Ломаченко Василь Анатолійович",14,5,12209
"Складносурядне речення",0,0,12169
"Українська мова",2,2,12148
"Теліга Олена Іванівна",0,0,12105
"Символізм",0,0,12102
"Список країн Європи за площею",4,2,12073
"Стародавній Рим",0,0,12072
"Пневмонія",1,1,12016
"LP (співачка)",0,0,11916
"Шолом-Алейхем",6,4,11905
"Туреччина",0,0,11894
"Література бароко",2,2,11886
"Карбонові кислоти",0,0,11860
"Проголошення незалежності України 1991",0,0,11858
"Мона Ліза",2,2,11745
"Вибори Президента України",38,7,11670
"Каденюк Леонід Костянтинович",7,6,11666
"Нова економічна політика",3,2,11605
"Закон Ома",0,0,11574
"Надзвичайна ситуація",1,1,11567
"Валовий внутрішній продукт",3,3,11552
"Гра престолів",29,11,11523
"Правила вживання апострофа в українській мові",0,0,11474
"Целюлоза",0,0,11441
"Єлизавета II",4,4,11427
"Економіка України",30,11,11404
"Гагарін Юрій Олексійович",19,6,11401
"Прямокутний трикутник",0,0,11393
"Рильський Максим Тадейович",2,2,11379
"Бернард Шоу",2,2,11375
"Сахароза",0,0,11353
"Закон Архімеда",2,2,11339
"BTS",17,12,11338
"Партія регіонів",1,1,11328
"Глібов Леонід Іванович",0,0,11255
"Скоропадський Павло Петрович",5,3,11235
"Українське бароко",0,0,11215
"Українська греко-католицька церква",0,0,11194
"Полімери",0,0,11185
"Сковорода Григорій Савич",0,0,11169
"Список кодів МКХ-10",0,0,11167
"Конституція Пилипа Орлика",1,1,11136
"Екологія",3,3,11098
"Австрія",4,4,11086
"Dan Balan",0,0,11053
"Чорнобиль",6,6,11034
"Космонавтика України",18,11,10994
"Андрей (Шептицький)",2,2,10940
"Рошен",2,1,10935
"Сифіліс",5,2,10900
"Милорад Павич",4,4,10878
"Угорщина",2,2,10871
"Шрі-Ланка",1,1,10855
"Поль Верлен",0,0,10825
"Охлократія",0,0,10823
"Тихий океан",1,1,10808
"Теорія еволюції",0,0,10797
"Воронина Леся Анастасіївна",0,0,10788
"Закони Менделя",3,3,10762
"Біллі Айліш",6,5,10748
"Євромайдан",3,3,10725
"Цигани",2,2,10660
"Машинобудування",1,1,10651
"Код ЄДРПОУ",0,0,10650
"Сперматозоїд",0,0,10634
"Електричний опір",1,1,10596
"Ланцюг живлення",2,2,10581
"Модернізм",0,0,10569
"Кудря Наталія Іванівна",7,6,10559
"Розстріляне відродження",1,1,10544
"Мітоз",1,1,10542
"Українська Центральна Рада",0,0,10532
"Інгулець (футбольний клуб)",5,4,10502
"Кошовий Євген Вікторович",0,0,10500
"Фотосинтез",0,0,10488
"Емманюель Макрон",1,1,10478
"Африка",1,1,10477
"Електричний струм",3,1,10451
"Гліцерин",1,1,10445
"Населення Землі",1,1,10403
"Києво-Печерська лавра",3,3,10377
"Кривий Ріг",3,3,10290
"Забруднення повітря",0,0,10264
"Ґрунти України",3,3,10211
"Сонячна система",0,0,10206
"Міста України (за населенням)",0,0,10163
"Еволюція",1,1,10141
"Біосфера",0,0,10136
"Аміни",0,0,10125
"Прийменник",2,2,10115
"Північна Америка",3,3,10103
"Вінстон Черчилль",3,3,10097
"Руїна",1,1,10077
"Список країн за населенням",0,0,10072
"Податок на додану вартість",4,2,10066
"Дніпро (місто)",17,11,10029
"Олександр Олесь",1,1,10022
"Дунай",3,3,9991
"Сталий розвиток",1,1,9986
"Кримські гори",0,0,9965
"Ісус Христос",8,5,9963
"Нервова система",3,3,9951
"Список 250 найрейтинговіших фільмів IMDb",0,0,9947
"Забужко Оксана Стефанівна",2,2,9922
"Страсна п'ятниця",0,0,9907
"Гетьманщина",0,0,9900
"Внутрішня енергія",0,0,9893
"Українські Карпати",1,1,9892
"Білорусь",5,4,9869
"Історія України",6,1,9865
"Томос",18,9,9861
"Гордон Дмитро Ілліч",6,4,9850
"Річ Посполита",4,2,9849
"Машинобудування України",1,1,9832
"DZIDZIO Перший раз",3,2,9784
"Монополія",0,0,9782
"ПриватБанк",19,11,9780
"Мохи",2,2,9742
"Після (фільм)",1,1,9732
"Структура білків",0,0,9693
"Сталін Йосип Віссаріонович",1,1,9691
"Марш українських націоналістів (пісня)",0,0,9650
"Спадкові захворювання",2,2,9628
"Євреї",0,0,9623
"Мінливість біологічна",0,0,9605
"Артюр Рембо",4,3,9588
"Радіоактивність",0,0,9579
"Одеса",6,6,9576
"Вітряна віспа",1,1,9570
"Чорна рада (роман)",0,0,9561
"Ізраїль",2,2,9554
"Корольов Сергій Павлович",4,4,9552
"Карпати",0,0,9552
"Прикметник",0,0,9543
"Іспанія",0,0,9521
"Потужність електричного струму",2,2,9512
"Форма державного правління",0,0,9505
"Судова система України",1,1,9503
"Бій під Крутами",0,0,9501
"Кобзар (збірка)",2,2,9501
"Столиці країн Європи",2,2,9497
"Міграція населення",0,0,9493
"Запорозька Січ",1,1,9491
"Солі (хімія)",0,0,9467
"Велике князівство Литовське",1,1,9436
"Політична партія «Сила і честь»",0,0,9422
"Атлантичний океан",0,0,9407
"Кирило Розумовський",3,3,9393
"Втрати силових структур внаслідок російського вторгнення в Україну",0,0,9376
"Івано-Франківськ",6,5,9375
"Дієслово",0,0,9367
"Атмосферний тиск",2,2,9366
"Сонце",0,0,9346
"Петро I",7,5,9344
"Українська Радянська Соціалістична Республіка",1,1,9342
"Принцип Парето",0,0,9338
"Естери",1,1,9302
"Нідерланди",1,1,9290
"Список столиць країн світу",13,1,9279
"Покритонасінні",2,2,9239
"Без обмежень",5,1,9209
"Прем'єр-міністр України",1,1,9203
"Ляльковий дім",1,1,9189
"Генотерапія",7,4,9185
"Полякова Ольга Юріївна",0,0,9176
"Поворознюк Олександр Григорович",0,0,9164
"Злочин",5,3,9157
"Прийменник в українській мові",1,1,9144
"Харків",7,7,9119
"Універсали Української Центральної Ради",0,0,9113
"Довженко Олександр Петрович",1,1,9109
"Список фільмів за коміксами Marvel",0,0,9104
"Громадянське суспільство",0,0,9096
"Список президентів США",2,2,9088
"Танк (фільм)",1,1,9084
"Російська імперія",0,0,9061
"Рональд Рейган",0,0,9029
"Англійська мова",7,4,9019
"Шизофренія",1,1,9013
"Культура",2,2,9006
"Список об'єктів Світової спадщини ЮНЕСКО в Україні",2,2,8996
"Національний дендрологічний парк «Софіївка»",1,1,8993
"Анексія Криму Росією (2014)",0,0,8981
"Конфлікт",0,0,8977
"Ідентифікаційний номер фізичної особи",0,0,8976
"Західноукраїнська Народна Республіка",0,0,8973
"Дієприкметник",0,0,8972
"Шарль Бодлер",8,3,8941
"Сила струму",2,2,8889
"Співдружність Незалежних Держав",1,1,8872
"Винничук Юрій Павлович",5,4,8840
"Національний спортивний комплекс «Олімпійський»",3,3,8839
"451 градус за Фаренгейтом",0,0,8835
"Притула Сергій Дмитрович",4,4,8821
"Ссавці",2,2,8787
"Тиск",0,0,8778
"Кудря Іван Данилович",14,9,8767
"Птахи",4,2,8766
"Подагра",1,1,8747
"Безробіття",1,1,8739
"Члени речення",0,0,8714
"Ароморфоз",0,0,8699
"Головний мозок людини",3,2,8695
"Закарпатська область",3,3,8694
"Місцеве самоврядування в Україні",1,1,8675
"Податок",1,1,8641
"Обставина",0,0,8634
"Зодіак",1,1,8605
"Чарлі і шоколадна фабрика (фільм)",0,0,8600
"Анемія",0,0,8598
